id,region,name,address,parking,hours,cross_street,landmark,fax,urgent,routine,created_at,updated_at
1,Brooklyn,Bay Ridge Medical Office,"740 64th St, Brooklyn, NY 11220",t,"Mon-Thu: 8am - 8pm
Fri: 8am - 5pm
Sat: 9am - 1pm (1st and 2nd Sat of the month)",7th and 8th,Close to Dunkin Dounut,718-439-2066,NULL,NULL,42:22.4,42:22.4
2,Brooklyn,Bedford-Williamsburg Medical Office,"233 Nostrand Ave, Brooklyn, NY 11205",f,"Mon-Thu: 8am - 8pm
Fri: 8am - 5pm
Sat: 9am - 1pm",Corner of Nostrand Ave. and Dekalb Ave.,Opposite sugar Hll Restaurant/ close to home depot,NULL,NULL,NULL,42:22.4,42:22.4
3,Brooklyn,Brooklyn Heights Medical Office,"195 Montague St, 2nd Floor, Brooklyn, NY 11201",f,"Mon-Thu: 8am - 8pm
Fri: 8am - 5pm
Sat: 9am - 1pm",Court St. and Clinton Ave.,Above the Santander Bank,NULL,NULL,NULL,42:22.4,42:22.4
4,Brooklyn,Downtown Medical Office,"447 Atlantic Ave, Brooklyn, NY 11217",f,"Mon, Wed, Thu: 8am - 5pm
Tues: 11am - 8pm
",Atlantic Ave. & State St (Entrance on Nevins),Across the street from Pharmacy,718-434-5283,NULL,NULL,42:22.4,42:22.4
5,Brooklyn,Elite at East 18th Street Medical Office,"601 East 18th St, Brooklyn, NY 11226",f,"Mon-Thu: 8am - 8pm
Fri: 8am - 5pm
Sat: 9am - 1pm",Newkirk Ave. and Foster Ave,In Apartment building,718-771-9738,NULL,NULL,42:22.4,42:22.4
6,Brooklyn,Empire Medical Office,"546 Eastern Pkwy, Brooklyn, NY 11225",t,"Mon-Thu: 8am - 8pm
Fri: 8am - 5pm
Sat: 9am - 1pm",Nostrand Ave. and New York Ave.,Next to Dunkin Dounut,718-826-4051,NULL,NULL,42:22.4,42:22.4
7,Brooklyn,Flatbush Medical Office,"1000 Church Ave, Brooklyn, NY 11218",t,"Mon-Thu: 8am - 8pm
Fri: 8am - 5pm
Sat: 9am - 1pm",Coney Island Ave. and Stratford Road,After parking lot,718-615-3717,NULL,NULL,42:22.4,42:22.4
8,Brooklyn,Kings Highway Medical Office,"3245 Nostrand Ave, Brooklyn, NY 11229",t,"Mon-Thu: 8am - 8pm
Fri: 8am - 5pm
Sat: 9am - 1pm",Ave. S and Ave. T,Opposite Buckley's Restaurant,718-240-2260,NULL,NULL,42:22.4,42:22.4
9,Brooklyn,Lindenwood Medical Office,"2832 Linden Blvd, Brooklyn, NY 11208",f,"Mon-Thu: 8am - 8pm
 Fri: 8am - 5pm
 Sat: 9am - 1pm",Emerald and Drew Streets,Near the Movie Theater and across from McDonald's,NULL,NULL,NULL,42:22.4,42:22.4
10,Long Island,Babylon Medical Office,"300 Bay Shore Rd, North Babylon, NY 11703",t,"Mon-Thu: 8am - 8pm
Fri: 8am - 5pm
Sat: 9am - 1pm",Bayshore Road & Brook Ave,Accoss from Gas Station,NULL,NULL,NULL,42:22.4,42:22.4
