med,spec
1,20
1,24
2,29
2,20
2,30
2,23
2,24
2,26
2,28
3,20
3,30
3,24
3,26
3,28
4,20
5,20
6,20
6,30
6,26
6,28
7,20
8,29
8,20
8,24
9,29
9,20
9,23
10,15
10,18
10,20
10,20
10,30
10,22
10,23
10,24
10,26
10,26
10,28
11,20
11,23
11,28
12,15
12,18
12,20
12,22
12,26
12,28
13,15
13,20
13,30
13,22
13,26
13,31
13,28
14,20
14,22
14,23
14,24
14,28
15,16
15,19
15,20
15,30
15,23
15,24
15,26
15,28
16,16
16,19
16,20
17,20
17,28
18,20
18,17
19,20
20,20
21,20
22,15
22,20
22,30
22,23
22,27
22,28
23,20
24,20
24,28
25,17
25,20
25,30
25,22
25,26
25,28
26,20
26,20
26,23
26,26
26,28
27,20
28,20
28,22
28,26
28,28
29,15
29,18
29,20
29,30
29,22
29,23
29,26
29,28
30,20
30,30
30,22
30,23
30,32
30,28
31,20
31,28
32,20
32,28
34,20
35,33
35,20
35,34
35,23
35,24
35,26
35,26
35,28
36,15
36,20
36,30
36,21
36,23
36,24
36,25
36,26
36,28
